player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Terance Mann,mannte01,2021,PO,LAC,751,378,2.670401699175508,1.384098755592132,4.05450045476764,9.468513060321971,6.18228640505551,15.65079946537748,4.153798925919716,2.458379485427248,6.612178411346964,1.846208006007,0,1.846208006007,3.449699253289858,3.149303689584755,6.599002942874613,-.840796940751928
Terance Mann,mannte01,2021,RS,LAC,2629,1263,.3424188659131448,-.3619018971323708,-.019483031219226,-1.452631353104685,.5920169120582537,-.8606144410464318,-.0645297399132663,-.2117759688423687,-.2763057087556349,1.580572332100338,1.580572332100338,0,-.473497875431684,.1371430156271454,-.3363548598045386,-.8509615107595289
Boban Marjanovic,marjabo01,2021,PO,DAL,167,83,3.626373579629796,-1.562348899198664,2.064024680431131,-7.591331828407338,-7.264235736459391,-14.85556756486673,1.478827065190417,-2.807238720826889,-1.328411655636473,.0622911360302487,0,.0622911360302487,-.4555229676300667,-2.142847066262009,-2.598370033892076,.3220103695037675
Boban Marjanovic,marjabo01,2021,RS,DAL,565,271,.4173377173753247,-1.365585611599794,-.9482478942244689,-3.816947691782103,4.663243350957886,.8462956591757838,-.4854511118628458,-.177820962895546,-.6632720747583918,.2869597726946972,.2869597726946972,0,-.4125181304345999,-1.025012850896096,-1.437530981330696,-.5459676299422231
Lauri Markkanen,markkla01,2021,RS,CHI,2765,1317,.0916119682551314,-.9288346678049501,-.8372226995498186,-2.942402342595747,-.5716558625556895,-3.514058205151436,-.5182617114945325,-.9127886948188846,-1.431050406313417,.8889128497947019,.8889128497947019,0,.2897805533873623,-1.557517775640811,-1.267737222253448,.3038205361917812
Naji Marshall,marshna01,2021,RS,NOP,1533,700,-.3937900114223881,.0163019447813925,-.3774880666409956,-3.232268328039615,1.571631076844191,-1.660637251195424,-1.021363658536531,.3645709248825875,-.6567927336539436,.7549112926646677,.7549112926646677,0,-.6193677108300379,.0953244827703865,-.5240432280596514,.9918750331679824
Caleb Martin,martica02,2021,RS,CHA,1703,818,-2.350128778423563,1.886891809093658,-.4632369693299048,-3.157103691652504,-.7172345532242679,-3.874338244876772,-2.648070244947797,1.475962314230958,-1.172107930716839,.6573827286711453,.6573827286711453,0,-2.083614018331902,.9281836582263818,-1.15543036010552,-.1748703559775126
Cody Martin,martico01,2021,RS,CHA,1772,849,-2.322043578760039,1.726109517733784,-.5959340610262558,.0987850201410523,1.728889616837501,1.827674636978553,-1.970421703811393,1.839699602425384,-.1307221013860087,1.129612187217947,1.129612187217947,0,-2.11416983151403,1.316887229241751,-.7972826022722792,-.440879274588153
Jeremiah Martin,martije02,2021,RS,CLE,156,75,-9.725629370152804,.1629623265365396,-9.562667043616264,-4.455225606374795,-7.074735788960106,-11.5299613953349,-9.054700661455993,-1.259818385098906,-10.3145190465549,-.2880982293641809,-.2880982293641809,0,-7.997607479156252,-2.324017429657036,-10.32162490881329,-.4737677952233546
Kelan Martin,martike03,2021,RS,IND,690,322,.6653025785075906,-2.933690454642968,-2.268387876135377,3.545124769884025,5.261003657687594,8.806128427571618,1.301442844677427,-1.391463890168704,-.0900210454912773,.4374079653783799,.4374079653783799,0,.440474622384197,-2.350506672258714,-1.910032049874517,.0958755814127611
Kenyon Martin Jr.,martike04,2021,RS,HOU,2285,1068,-.842444490872312,-1.800191773804279,-2.642636264676591,-2.027670797098903,-3.47849624357605,-5.506167040674953,-1.09477404158261,-2.217663822070864,-3.312437863653474,-.3057480025693751,-.3057480025693751,0,-1.607306978256985,-2.140425877804625,-3.74773285606161,-.2374880346889877
Frank Mason,masonfr01,2021,RS,ORL,161,79,-6.4726325624471,-13.58224505559704,-20.05487761804414,-6.296830251539312,4.646720752610407,-1.650109498928905,-6.735014816735244,-10.56630910996068,-17.30132392669592,-.5798920683184908,-.5798920683184908,0,-7.662494759562883,-9.702400874967468,-17.36489563453035,-1.138140076819986
Garrison Mathews,mathega01,2021,PO,WAS,34,17,-3.741523575897022,4.886046857275424,1.144523281378403,-18.05631192994317,19.26046346823036,1.204151538287196,-6.976137134315445,8.325305855454747,1.349168721139302,.0368517974845773,0,.0368517974845773,-.267201048249138,-.0818748170639942,-.3490758653131322,.4897497524540885
Garrison Mathews,mathega01,2021,RS,WAS,2302,1038,.8191542444466551,1.24288948817856,2.062043732625215,-1.991599470495235,-1.961036227042733,-3.952635697537968,.2760243392366161,.6646242122840053,.9406485515206213,1.960992131110596,1.960992131110596,0,-.4486940118638499,1.008488206819681,.5597941949558314,.334280870316082
Dakota Mathias,mathida01,2021,RS,PHI,264,123,-.6632993096564631,-2.130019541314686,-2.793318850971149,-6.59585209722898,.7076587447114041,-5.888193352517576,-1.927576334028806,-1.726361393411504,-3.65393772744031,-.0563421729650483,-.0563421729650483,0,-2.242186588123906,-2.292706466685278,-4.534893054809184,-.6836821440255489
